file,category,functions,lines,review
.gitignore,documentation/configuration/result evidence,0,7,"Reviewed for scope, portable paths and provenance; not an optimized model component."
DATA.md,documentation/configuration/result evidence,0,18,"Reviewed for scope, portable paths and provenance; not an optimized model component."
FILE_SHA256.json,release documentation or verification,0,,"Reviewed provenance, validation scope or archive integrity; no training computation."
README.md,documentation/configuration/result evidence,0,77,"Reviewed for scope, portable paths and provenance; not an optimized model component."
THIRD_PARTY_LICENSE.txt,documentation/configuration/result evidence,0,201,"Reviewed for scope, portable paths and provenance; not an optimized model component."
THIRD_PARTY_NOTICES.md,documentation/configuration/result evidence,0,7,"Reviewed for scope, portable paths and provenance; not an optimized model component."
configs/probe_panel.json,documentation/configuration/result evidence,0,1850,"Reviewed for scope, portable paths and provenance; not an optimized model component."
configs/qvhighlights.json,documentation/configuration/result evidence,0,219,"Reviewed for scope, portable paths and provenance; not an optimized model component."
docs/CLEANUP.md,release documentation or verification,0,9,"Reviewed provenance, validation scope or archive integrity; no training computation."
docs/EVALUATION.md,documentation/configuration/result evidence,0,9,"Reviewed for scope, portable paths and provenance; not an optimized model component."
docs/FILE_REVIEW.csv,release documentation or verification,0,,"Reviewed provenance, validation scope or archive integrity; no training computation."
docs/LIMITATIONS.md,documentation/configuration/result evidence,0,7,"Reviewed for scope, portable paths and provenance; not an optimized model component."
docs/METHOD.md,documentation/configuration/result evidence,0,22,"Reviewed for scope, portable paths and provenance; not an optimized model component."
docs/VALIDATION.md,documentation/configuration/result evidence,0,14,"Reviewed for scope, portable paths and provenance; not an optimized model component."
docs/annotation_sha256.json,documentation/configuration/result evidence,0,4,"Reviewed for scope, portable paths and provenance; not an optimized model component."
docs/import_compatibility.json,documentation/configuration/result evidence,0,41,"Reviewed for scope, portable paths and provenance; not an optimized model component."
docs/official_metric_source.json,documentation/configuration/result evidence,0,15,"Reviewed for scope, portable paths and provenance; not an optimized model component."
docs/validation_receipt.json,release documentation or verification,0,57,"Reviewed provenance, validation scope or archive integrity; no training computation."
external/standalone_eval/LICENSE,documentation/configuration/result evidence,0,21,"Reviewed for scope, portable paths and provenance; not an optimized model component."
external/standalone_eval/__init__.py,pinned upstream evaluator,0,0,Empty package initializer required for explicit package layout.
external/standalone_eval/eval.py,pinned upstream evaluator,13,344,Retained unchanged upstream source and license; metric protocol distinct from SG-derived training metric.
external/standalone_eval/utils.py,pinned upstream evaluator,6,209,Retained unchanged upstream source and license; metric protocol distinct from SG-derived training metric.
requirements.txt,documentation/configuration/result evidence,0,8,"Reviewed for scope, portable paths and provenance; not an optimized model component."
results/v00.json,documentation/configuration/result evidence,0,166,"Reviewed for scope, portable paths and provenance; not an optimized model component."
run.py,observed training dependency,7,249,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
scripts/evaluate.py,evaluation dependency,0,11,Retained for validation/deletion or documented heldout entry; not a training-stage deployment script.
scripts/event_field_f0_train.py,observed training dependency,11,334,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
scripts/event_field_official_eval.py,entry point or diagnostic/support dependency,7,324,Static name/import checks passed; retained conditional probe/backend helper. Not every branch is certified by trajectory tests.
scripts/score_predictions.py,entry point or diagnostic/support dependency,0,28,Static name/import checks passed; retained conditional probe/backend helper. Not every branch is certified by trajectory tests.
scripts/smoke.py,entry point or diagnostic/support dependency,0,11,Static name/import checks passed; retained conditional probe/backend helper. Not every branch is certified by trajectory tests.
scripts/train.py,entry point or diagnostic/support dependency,0,11,Static name/import checks passed; retained conditional probe/backend helper. Not every branch is certified by trajectory tests.
src/backbone/__init__.py,observed training dependency,0,1,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
src/backbone/conditioned/__init__.py,observed training dependency,0,14,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
src/backbone/conditioned/contracts.py,observed training dependency,10,125,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
src/backbone/conditioned/extensions.py,observed training dependency,3,35,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
src/backbone/conditioned/model.py,observed training dependency,12,297,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
src/backbone/conditioned/official_eval.py,entry point or diagnostic/support dependency,1,71,Static name/import checks passed; retained conditional probe/backend helper. Not every branch is certified by trajectory tests.
src/backbone/conditioned/paired_loader.py,observed training dependency,6,81,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
src/backbone/conditioned/plugin.py,observed training dependency,9,285,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
src/backbone/conditioned/scratch_plugin.py,observed training dependency,6,262,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
src/backbone/conditioned/semantic_carrier_plugin.py,observed training dependency,12,270,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
src/backbone/conditioned/trifield_dense_ranker_plugin.py,observed training dependency,26,762,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
src/backbone/conditioned/trifield_final_hardrank_plugin.py,observed training dependency,7,271,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
src/backbone/conditioned/trifield_input_conditioner_plugin.py,observed training dependency,16,764,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
src/backbone/conditioned/trifield_semantic_preserve_plugin.py,observed training dependency,9,236,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
src/backbone/conditioned/trifield_spanset_c3_adapter.py,observed training dependency,4,125,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
src/backbone/conditioned/trifield_spanset_c3_plugin.py,observed training dependency,11,410,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
src/backbone/evaluator.py,observed training dependency,4,93,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
src/backbone/model.py,observed training dependency,21,677,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
src/eventfieldnet/__init__.py,observed training dependency,0,1,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
src/eventfieldnet/candidate_objective.py,observed training dependency,8,235,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
src/eventfieldnet/candidate_pools.py,observed training dependency,15,467,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
src/eventfieldnet/carrier_helpers.py,observed training dependency,3,128,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
src/eventfieldnet/coverage_loss.py,observed training dependency,5,374,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
src/eventfieldnet/evaluation_cli.py,evaluation dependency,23,726,Retained for validation/deletion or documented heldout entry; not a training-stage deployment script.
src/eventfieldnet/evaluator.py,observed training dependency,31,733,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
src/eventfieldnet/field_ablation.py,evaluation dependency,2,25,Retained for validation/deletion or documented heldout entry; not a training-stage deployment script.
src/eventfieldnet/field_objective.py,observed training dependency,7,190,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
src/eventfieldnet/geometry_probes.py,observed training dependency,4,117,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
src/eventfieldnet/gradient_routing.py,observed training dependency,6,183,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
src/eventfieldnet/heldout_data.py,evaluation dependency,1,25,Retained for validation/deletion or documented heldout entry; not a training-stage deployment script.
src/eventfieldnet/joint_training.py,observed training dependency,6,150,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
src/eventfieldnet/length_objective.py,observed training dependency,10,268,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
src/eventfieldnet/local_support.py,observed training dependency,4,172,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
src/eventfieldnet/local_support_helpers.py,observed training dependency,6,248,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
src/eventfieldnet/model/__init__.py,observed training dependency,0,53,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
src/eventfieldnet/model/_rng.py,observed training dependency,2,36,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
src/eventfieldnet/model/adapter.py,observed training dependency,32,1393,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
src/eventfieldnet/model/candidate_pair_loss.py,observed training dependency,7,267,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
src/eventfieldnet/model/candidate_primitives.py,observed training dependency,11,289,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
src/eventfieldnet/model/counterfactual.py,observed training dependency,8,509,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
src/eventfieldnet/model/e_readout_scale.py,observed training dependency,5,191,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
src/eventfieldnet/model/endpoint_pair_diagnostic.py,entry point or diagnostic/support dependency,8,290,Static name/import checks passed; retained conditional probe/backend helper. Not every branch is certified by trajectory tests.
src/eventfieldnet/model/factor_probes.py,entry point or diagnostic/support dependency,13,513,Static name/import checks passed; retained conditional probe/backend helper. Not every branch is certified by trajectory tests.
src/eventfieldnet/model/interaction.py,observed training dependency,8,434,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
src/eventfieldnet/model/local_counterfactual.py,observed training dependency,8,440,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
src/eventfieldnet/model/local_evidence_loss.py,observed training dependency,1,52,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
src/eventfieldnet/model/losses.py,observed training dependency,36,1896,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
src/eventfieldnet/model/mechanism_probe.py,entry point or diagnostic/support dependency,1,91,Static name/import checks passed; retained conditional probe/backend helper. Not every branch is certified by trajectory tests.
src/eventfieldnet/model/primitives.py,observed training dependency,3,64,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
src/eventfieldnet/model/probes.py,observed training dependency,66,3853,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
src/eventfieldnet/model/query_ordinal.py,entry point or diagnostic/support dependency,3,139,Static name/import checks passed; retained conditional probe/backend helper. Not every branch is certified by trajectory tests.
src/eventfieldnet/model/selector.py,observed training dependency,31,1274,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
src/eventfieldnet/model/semantic_probe.py,entry point or diagnostic/support dependency,17,918,Static name/import checks passed; retained conditional probe/backend helper. Not every branch is certified by trajectory tests.
src/eventfieldnet/model_factory.py,observed training dependency,6,225,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
src/eventfieldnet/precision.py,observed training dependency,2,58,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
src/eventfieldnet/precision_evaluation.py,evaluation dependency,3,73,Retained for validation/deletion or documented heldout entry; not a training-stage deployment script.
src/eventfieldnet/probe_helpers.py,observed training dependency,13,665,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
src/eventfieldnet/probes.py,observed training dependency,5,375,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
src/eventfieldnet/quality_calibration.py,observed training dependency,7,242,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
src/eventfieldnet/quality_probes.py,observed training dependency,4,161,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
src/eventfieldnet/query_objective.py,observed training dependency,14,471,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
src/eventfieldnet/routing_helpers.py,observed training dependency,3,53,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
src/eventfieldnet/runtime/__init__.py,observed training dependency,0,38,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
src/eventfieldnet/runtime/budget_ledger.py,observed training dependency,2,40,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
src/eventfieldnet/runtime/epoch_runner.py,observed training dependency,1,139,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
src/eventfieldnet/runtime/runner.py,observed training dependency,73,2264,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
src/eventfieldnet/runtime/step_telemetry.py,observed training dependency,16,571,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
src/eventfieldnet/score_calibration.py,observed training dependency,7,226,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
src/eventfieldnet/support_geometry.py,observed training dependency,18,642,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
src/eventfieldnet/support_helpers.py,observed training dependency,6,160,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
src/eventfieldnet/support_objective.py,observed training dependency,11,346,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
src/eventfieldnet/train.py,observed training dependency,15,419,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
src/eventfieldnet/validation.py,observed training dependency,4,47,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
src/feature_bridge/__init__.py,observed training dependency,0,5,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
src/feature_bridge/evaluator.py,observed training dependency,4,120,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
src/feature_bridge/model.py,observed training dependency,26,663,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
src/feature_bridge/plugin.py,observed training dependency,6,135,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
src/field_core/__init__.py,observed training dependency,0,55,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
src/field_core/adapter.py,observed training dependency,18,560,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
src/field_core/child.py,observed training dependency,45,1218,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
src/field_core/losses.py,observed training dependency,15,533,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
src/field_core/probes.py,observed training dependency,42,1288,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
src/field_core/runtime.py,observed training dependency,23,468,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
src/field_core/selector.py,observed training dependency,9,182,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
src/field_primitives/__init__.py,observed training dependency,0,1,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
src/field_primitives/model/__init__.py,observed training dependency,0,43,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
src/field_primitives/model/adapter.py,observed training dependency,10,444,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
src/field_primitives/model/losses.py,observed training dependency,13,514,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
src/field_primitives/model/probes.py,observed training dependency,11,607,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
src/field_primitives/model/selector.py,observed training dependency,2,99,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
src/sg_components/__init__.py,observed training dependency,0,1,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
src/sg_components/dataset/__init__.py,observed training dependency,0,1,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
src/sg_components/dataset/collate.py,observed training dependency,2,123,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
src/sg_components/dataset/qvhighlights.py,observed training dependency,11,325,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
src/sg_components/dataset/utils.py,observed training dependency,6,184,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
src/sg_components/metrics/__init__.py,evaluation dependency,0,1,Retained for validation/deletion or documented heldout entry; not a training-stage deployment script.
src/sg_components/metrics/highlights/__init__.py,evaluation dependency,0,1,Retained for validation/deletion or documented heldout entry; not a training-stage deployment script.
src/sg_components/metrics/highlights/avg_precision.py,evaluation dependency,3,112,Retained for validation/deletion or documented heldout entry; not a training-stage deployment script.
src/sg_components/metrics/highlights/hit1.py,evaluation dependency,2,61,Retained for validation/deletion or documented heldout entry; not a training-stage deployment script.
src/sg_components/metrics/highlights/metrics.py,evaluation dependency,9,220,Retained for validation/deletion or documented heldout entry; not a training-stage deployment script.
src/sg_components/metrics/metrics_collection.py,evaluation dependency,1,45,Retained for validation/deletion or documented heldout entry; not a training-stage deployment script.
src/sg_components/metrics/moments/__init__.py,evaluation dependency,0,1,Retained for validation/deletion or documented heldout entry; not a training-stage deployment script.
src/sg_components/metrics/moments/avg_precision.py,evaluation dependency,3,143,Retained for validation/deletion or documented heldout entry; not a training-stage deployment script.
src/sg_components/metrics/moments/metrics.py,evaluation dependency,7,245,Retained for validation/deletion or documented heldout entry; not a training-stage deployment script.
src/sg_components/metrics/moments/misc.py,evaluation dependency,3,113,Retained for validation/deletion or documented heldout entry; not a training-stage deployment script.
src/sg_components/metrics/moments/utils.py,evaluation dependency,3,68,Retained for validation/deletion or documented heldout entry; not a training-stage deployment script.
src/sg_components/model/__init__.py,observed training dependency,0,1,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
src/sg_components/model/event_field/__init__.py,observed training dependency,0,13,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
src/sg_components/model/event_field/framework.py,observed training dependency,13,423,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
src/sg_components/model/event_field/framework_boundary_preserving_v2.py,observed training dependency,6,175,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
src/sg_components/model/event_field/framework_context_contrast.py,observed training dependency,7,209,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
src/sg_components/model/event_field/framework_field_structured.py,observed training dependency,13,467,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
src/sg_components/model/event_field/framework_proven.py,observed training dependency,4,184,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
src/sg_components/model/event_field/framework_taskaware.py,observed training dependency,11,260,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
src/sg_components/model/event_field/framework_taskaware_deep.py,entry point or diagnostic/support dependency,5,186,Static name/import checks passed; retained conditional probe/backend helper. Not every branch is certified by trajectory tests.
src/sg_components/model/event_field/interaction.py,observed training dependency,6,237,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
src/sg_components/model/event_field/losses.py,observed training dependency,3,116,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
src/sg_components/model/event_field/model.py,observed training dependency,7,218,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
src/sg_components/model/event_field/targets.py,observed training dependency,2,153,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
src/sg_components/model/event_field/unified.py,observed training dependency,2,110,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
src/sg_components/utils/__init__.py,observed training dependency,0,1,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
src/sg_components/utils/rw_utils.py,observed training dependency,9,167,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
src/sg_components/utils/span_utils.py,observed training dependency,19,411,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
src/sg_components/utils/tensor_utils.py,observed training dependency,4,134,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
src/span_fields/__init__.py,observed training dependency,0,14,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
src/span_fields/trifield_span_set.py,observed training dependency,8,252,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
src/span_fields/trifield_span_set_objective.py,observed training dependency,8,247,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
src/training/__init__.py,observed training dependency,0,15,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
src/training/audit.py,observed training dependency,9,182,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
src/training/checkpointing.py,observed training dependency,20,426,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
src/training/config.py,observed training dependency,8,167,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
src/training/contracts.py,observed training dependency,13,121,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
src/training/evaluator.py,observed training dependency,3,130,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
src/training/probability.py,observed training dependency,7,110,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
src/training/runner.py,observed training dependency,15,459,Loaded during real-data CPU parity; static imports/name checks passed; retained for model/runtime/probes.
tests/test_entrypoints.py,regression tests,4,48,"Covers metadata migration, seed contract and output isolation."
